static	0 mrad/s	0.5 mrad/s	1 mrad/s
		9.41	9.42
		9.41	9.41
		9.41	9.42
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.42	9.42
		9.37	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.42
		9.41	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.41
		9.41	9.41
		9.39	9.35
		9.4	9.41
		9.4	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.41
		9.39	9.41
		9.41	9.42
		9.4	9.42
		9.42	9.41
		9.39	9.41
		9.42	9.41
		9.42	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.41
		9.41	9.42
		9.41	9.39
		9.42	9.42
		9.42	9.41
		9.41	9.41
		9.41	9.41
		9.41	9.42
		9.4	9.38
		9.4	9.42
		9.42	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.41
		9.4	9.4
		9.41	9.42
		9.41	9.42
		9.42	9.41
		9.42	9.41
		9.41	9.42
		9.41	9.41
		9.42	9.41
		9.42	9.42
		9.41	9.42
		9.41	9.41
		9.41	9.41
		9.41	9.42
		9.42	9.41
		9.41	9.4
		9.37	9.4
		9.41	9.41
		9.41	9.4
		9.41	9.36
		9.41	9.41
		9.42	9.41
		9.41	9.41
		9.41	9.41
		9.4	9.39
		9.38	9.41
		9.4	9.41
		9.42	9.38
		9.41	9.41
		9.42	9.42
		9.41	9.41
		9.41	9.42
		9.42	9.41
		9.41	9.41
		9.41	9.41
		9.42	9.41
		9.38	9.42
		9.42	9.41
		9.41	9.41
		9.42	9.41
		9.41	9.39
		9.41	9.42
		9.42	9.42
		9.42	9.41
		9.41	9.41
		9.41	9.42
		9.41	9.41
		9.42	9.4
		9.42	9.41
		9.41	9.42
		9.41	9.41
		9.42	9.41
		9.41	9.42
		9.41	9.41
		9.41	9.4
		9.41	9.4
		9.42	9.42
